Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
,forest-vrindavan-green-lehenga,,,,,,,,MEEK-GRN-45,,,4-5Y,,,,,,,,3199.00,3899.00,1600.00,TRUE,,,,,,shopify,25,DENY,380,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_green_lehenga_model.jpg,2,Forest Vrindavan Lehenga - Model View,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_green_lehenga_model.jpg,,,,,,,,,,,,,,,,,
,forest-vrindavan-green-lehenga,,,,,,,,MEEK-GRN-67,,,6-7Y,,,,,,,,3199.00,3899.00,1600.00,TRUE,,,,,,shopify,25,DENY,400,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_green_lehenga_swirl.jpg,3,Forest Vrindavan Lehenga - Fabric Detail,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_green_lehenga_swirl.jpg,,,,,,,,,,,,,,,,,
Gulmohar Splash Co-ord,gulmohar-splash-abstract-coord,"<p>Bright, bold, and delightfully artistic. This vibrant abstract printed co-ord set brings festive joy with rich hues of magenta, marigold yellow, and ocean blue.</p><ul><li>Fabric: Premium Soft Cotton Rayon Blend</li><li>Set Includes: V-Neck Crop Top &amp; Flared Mid-Calf Skirt</li><li>Care: Machine Washable Gentle Cycle</li></ul>",Meeeku,Apparel & Accessories > Clothing > Outfit Sets,Festive Co-ords,"Co-ords, Abstract Print, Multicolor, Magenta, Yellow, Cotton Blend, 2-3Y, 4-5Y, 6-7Y",TRUE,Active,MEEK-MULTI-23,,Size,2-3Y,,,,,,,,2899.00,3599.00,1300.00,TRUE,,,,,,shopify,25,DENY,350,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_multicolor_coord.jpg,1,Gulmohar Splash Co-ord - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_multicolor_coord.jpg,FALSE,Gulmohar Splash Co-ord - Meeeku,Shop Gulmohar Splash Co-ord at Meeeku.,,Apparel & Accessories > Clothing > Outfit Sets,Unisex,Kids,,,,New,FALSE,,,,,
,gulmohar-splash-abstract-coord,,,,,,,,MEEK-MULTI-45,,,4-5Y,,,,,,,,2899.00,3599.00,1300.00,TRUE,,,,,,shopify,25,DENY,380,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_multicolor_coord_model.jpg,2,Gulmohar Splash Co-ord - Model View,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_multicolor_coord_model.jpg,,,,,,,,,,,,,,,,,
,gulmohar-splash-abstract-coord,,,,,,,,MEEK-MULTI-67,,,6-7Y,,,,,,,,2899.00,3599.00,1300.00,TRUE,,,,,,shopify,25,DENY,400,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_multicolor_coord_swirl.jpg,3,Gulmohar Splash Co-ord - Fabric Detail,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_multicolor_coord_swirl.jpg,,,,,,,,,,,,,,,,,
Sage Mint Gota Lehenga,sage-mint-gota-lehenga,"<p>Elegance meets playfulness in soft sage mint. Decorated with intricate red flower embroidery and silver zigzag gota patti detailing, lined with skin-safe cotton.</p><ul><li>Fabric: Textured Cotton Linen</li><li>Detailing: Silver Zigzag Gota Patti &amp; Red Floral Threadwork</li><li>Care: Dry Clean Only</li></ul>",Meeeku,Apparel & Accessories > Clothing > Cultural & Traditional Clothing,Indian Ethnic Lehengas,"Ethnic, Lehenga, Sage Mint, Gota Patti, Red Floral, Zari, 2-3Y, 4-5Y, 6-7Y",TRUE,Active,MEEK-SAGE-23,,Size,2-3Y,,,,,,,,3199.00,3899.00,1750.00,TRUE,,,,,,shopify,25,DENY,350,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_sage_lehenga.jpg,1,Sage Mint Gota Lehenga - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_sage_lehenga.jpg,FALSE,Sage Mint Gota Lehenga - Meeeku,Shop Sage Mint Gota Lehenga at Meeeku.,,Apparel & Accessories > Clothing > Cultural & Traditional Clothing,Unisex,Kids,,,,New,FALSE,,,,,
,sage-mint-gota-lehenga,,,,,,,,MEEK-SAGE-45,,,4-5Y,,,,,,,,3199.00,3899.00,1750.00,TRUE,,,,,,shopify,25,DENY,380,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_sage_lehenga_model.jpg,2,Sage Mint Gota Lehenga - Model View,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_sage_lehenga_model.jpg,,,,,,,,,,,,,,,,,
,sage-mint-gota-lehenga,,,,,,,,MEEK-SAGE-67,,,6-7Y,,,,,,,,3199.00,3899.00,1750.00,TRUE,,,,,,shopify,25,DENY,400,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_sage_lehenga_swirl.jpg,3,Sage Mint Gota Lehenga - Fabric Detail,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_sage_lehenga_swirl.jpg,,,,,,,,,,,,,,,,,
Rani Pink Phulkari Lehenga,rani-pink-phulkari-lehenga,"<p>Vibrant Rani magenta lehenga featuring multi-colored floral boti embroidery and a scalloped embroidered hem. Ideal for weddings, festive occasions, and family celebrations.</p><ul><li>Fabric: 100% Pure Premium Cotton</li><li>Work: Phulkari Multi-Color Embroidery</li><li>Care: Dry Clean Recommended</li></ul>",Meeeku,Apparel & Accessories > Clothing > Cultural & Traditional Clothing,Indian Ethnic Lehengas,"Ethnic, Lehenga, Rani Pink, Magenta, Phulkari, Threadwork, 2-3Y, 4-5Y, 6-7Y",TRUE,Active,MEEK-RANI-23,,Size,2-3Y,,,,,,,,2799.00,3499.00,1800.00,TRUE,,,,,,shopify,25,DENY,350,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_magenta_lehenga.jpg,1,Rani Pink Phulkari Lehenga - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_magenta_lehenga.jpg,FALSE,Rani Pink Phulkari Lehenga - Meeeku,Shop Rani Pink Phulkari Lehenga at Meeeku.,,Apparel & Accessories > Clothing > Cultural & Traditional Clothing,Unisex,Kids,,,,New,FALSE,,,,,
,rani-pink-phulkari-lehenga,,,,,,,,MEEK-RANI-45,,,4-5Y,,,,,,,,2799.00,3499.00,1800.00,TRUE,,,,,,shopify,25,DENY,380,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_magenta_lehenga_model.jpg,2,Rani Pink Phulkari Lehenga - Model View,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_magenta_lehenga_model.jpg,,,,,,,,,,,,,,,,,
,rani-pink-phulkari-lehenga,,,,,,,,MEEK-RANI-67,,,6-7Y,,,,,,,,2799.00,3499.00,1800.00,TRUE,,,,,,shopify,25,DENY,400,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_magenta_lehenga_swirl.jpg,3,Rani Pink Phulkari Lehenga - Fabric Detail,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_magenta_lehenga_swirl.jpg,,,,,,,,,,,,,,,,,
Midnight Blossom Halter Lehenga,midnight-blossom-halter-lehenga,<p>Striking midnight black paired with rich crimson floral motifs. High-neck halter silhouette designed for modern little princesses who love to twirl.</p><ul><li>Fabric: 100% Breathable Printed Cotton</li><li>Top Silhouette: High-Neck Halter Top</li><li>Care: Gentle Wash / Dry Clean</li></ul>,Meeeku,Apparel & Accessories > Clothing > Cultural & Traditional Clothing,Indian Ethnic Lehengas,"Ethnic, Lehenga, Black, Crimson Red, Halter Neck, Floral Print, 2-3Y, 4-5Y, 6-7Y",TRUE,Active,MEEK-BLK-23,,Size,2-3Y,,,,,,,,2799.00,3499.00,1700.00,TRUE,,,,,,shopify,25,DENY,350,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_black_lehenga.jpg,1,Midnight Blossom Halter Lehenga - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_black_lehenga.jpg,FALSE,Midnight Blossom Halter Lehenga - Meeeku,Shop Midnight Blossom Halter Lehenga at Meeeku.,,Apparel & Accessories > Clothing > Cultural & Traditional Clothing,Unisex,Kids,,,,New,FALSE,,,,,
,midnight-blossom-halter-lehenga,,,,,,,,MEEK-BLK-45,,,4-5Y,,,,,,,,2799.00,3499.00,1700.00,TRUE,,,,,,shopify,25,DENY,380,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_black_lehenga_model.jpg,2,Midnight Blossom Halter Lehenga - Model View,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_black_lehenga_model.jpg,,,,,,,,,,,,,,,,,
,midnight-blossom-halter-lehenga,,,,,,,,MEEK-BLK-67,,,6-7Y,,,,,,,,2799.00,3499.00,1700.00,TRUE,,,,,,shopify,25,DENY,400,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_black_lehenga_swirl.jpg,3,Midnight Blossom Halter Lehenga - Fabric Detail,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_black_lehenga_swirl.jpg,,,,,,,,,,,,,,,,,
Olive Silk One-Shoulder Lehenga,olive-silk-oneshoulder-lehenga,"<p>Exquisite chartreuse olive green silk ensemble. Features an asymmetrical one-shoulder crop top with intricate silver zardozi embroidery vines and a shoulder fabric floral accent, paired with a rich flared satin silk skirt.</p><ul><li>Fabric: Pure Satin Silk & Zardozi Threadwork</li><li>Set Includes: One-Shoulder Crop Top &amp; Flared Ankle-Length Skirt</li><li>Care: Dry Clean Only</li></ul>",Meeeku,Apparel & Accessories > Clothing > Cultural & Traditional Clothing,Indian Ethnic Lehengas,"Ethnic, Lehenga, Olive Green, Chartreuse, Zardozi Silk, One Shoulder, coords, 2-3Y, 4-5Y, 6-7Y",TRUE,Active,MEEK-OLV-23,,Size,2-3Y,,,,,,,,3299.00,3999.00,1800.00,TRUE,,,,,,shopify,25,DENY,350,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_olive_lehenga.jpg,1,Olive Silk One-Shoulder Lehenga - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_olive_lehenga.jpg,FALSE,Olive Silk One-Shoulder Lehenga - Meeeku,Shop Olive Silk One-Shoulder Lehenga for girls 2-7Y at Meeeku.,,Apparel & Accessories > Clothing > Cultural & Traditional Clothing,Unisex,Kids,,,,New,FALSE,,,,,
,olive-silk-oneshoulder-lehenga,,,,,,,,MEEK-OLV-45,,,4-5Y,,,,,,,,3299.00,3999.00,1800.00,TRUE,,,,,,shopify,25,DENY,380,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_olive_lehenga_model.jpg,2,Olive Silk One-Shoulder Lehenga - Model View,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_olive_lehenga_model.jpg,,,,,,,,,,,,,,,,,
,olive-silk-oneshoulder-lehenga,,,,,,,,MEEK-OLV-67,,,6-7Y,,,,,,,,3299.00,3999.00,1800.00,TRUE,,,,,,shopify,25,DENY,400,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_olive_lehenga_swirl.jpg,3,Olive Silk One-Shoulder Lehenga - Fabric Detail,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_olive_lehenga_swirl.jpg,,,,,,,,,,,,,,,,,
Ivory Noor Chikankari Co-ord,ivory-noor-chikankari-coord,<p>Timeless ivory elegance crafted in pure cotton with subtle Chikankari-inspired white thread embroidery. Perfectly paired top and trousers designed for lightweight festive luxury.</p><ul><li>Fabric: 100% Pure Premium Cotton</li><li>Embroidery: White Chikankari Threadwork</li><li>Set Includes: Embroidered Top &amp; Trousers</li><li>Care: Gentle Handwash / Dry Clean</li></ul>,Meeeku,Apparel & Accessories > Clothing > Outfit Sets,Festive Co-ords,"Co-ords, Ethnic, Ivory, Chikankari, White, Cotton, coords, 2-3Y, 4-5Y, 6-7Y",TRUE,Active,MEEK-IVR-23,,Size,2-3Y,,,,,,,,2899.00,3599.00,1300.00,TRUE,,,,,,shopify,25,DENY,350,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_ivory_coord.jpg,1,Ivory Noor Chikankari Co-ord - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_ivory_coord.jpg,FALSE,Ivory Noor Chikankari Co-ord - Meeeku,Shop Ivory Noor Chikankari Co-ord for girls 2-7Y at Meeeku.,,Apparel & Accessories > Clothing > Outfit Sets,Unisex,Kids,,,,New,FALSE,,,,,
,ivory-noor-chikankari-coord,,,,,,,,MEEK-IVR-45,,,4-5Y,,,,,,,,2899.00,3599.00,1300.00,TRUE,,,,,,shopify,25,DENY,380,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_ivory_coord_model.jpg,2,Ivory Noor Chikankari Co-ord - Model View,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_ivory_coord_model.jpg,,,,,,,,,,,,,,,,,
,ivory-noor-chikankari-coord,,,,,,,,MEEK-IVR-67,,,6-7Y,,,,,,,,2899.00,3599.00,1300.00,TRUE,,,,,,shopify,25,DENY,400,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_ivory_coord_swirl.jpg,3,Ivory Noor Chikankari Co-ord - Fabric Detail,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_ivory_coord_swirl.jpg,,,,,,,,,,,,,,,,,
